title,description,company_profile,requirements,benefits,fraudulent
Software Intern,Work on web apps,Startup company,Python basics,Certificate and stipend,0
Data Analyst Intern,Analyze datasets,Tech firm,Excel and Python,Remote work,0
Marketing Intern,Promote products,New company,Social media skills,Flexible hours,0
Work From Home Job,Easy money fast,Unknown,No skills required,High income promise,1
Typing Job,Earn daily income,Fake company,None,Instant payment,1
Online Assistant,Help with simple tasks,Unknown company,Basic English,High salary,1
AI Intern,Build ML models,AI startup,Python and ML basics,Stipend and mentorship,0
HR Intern,Assist hiring process,Corporate firm,Communication skills,Experience certificate,0
Captcha Entry Job,Simple typing work,Unknown,None,Daily payout,1
Finance Intern,Assist accounts team,Finance company,Accounting basics,Stipend,0
